ID,CNPJ,RAZAO
98,2563570000115,MEDI-SAUDE PRODUTOS MEDICOS HOSPITALARES EIRELI
351,8370779000149,MAINO SISTEMAS DE INFORMATICA LTDA
356,8513486000173,BEEDOO LICENCIAMENTO DE SOFTWARE LTDA
358,8587794000143,GAUDIUM DESENVOLVIMENTO DE SOFTWARE LTDA
363,8663314000186,DR-IE COMERCIO DE LIVROS E MANUAIS AUTOMOTIVOS LTDA
103,2643552000143,CENTRAL DE ALARMES LTDA
370,8746177000143,EM1 SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA
105,2715053000114,PANNA RECURSOS HUMANOS E TERCEIRIZACAO LTDA
371,8760941000135,WTTI SISTEMAS LTDA
372,8776918000139,MULTICREDITO PROMOTORA DE CREDITO E SERVICOS LTDA.
386,9107908000173,F B S SISTEMAS DO BRASIL LTDA
389,9196253000157,FAST LANE SERVICOS DE TREINAMENTO E SOLUCOES TECNOLOGICAS LTDA
391,9236362000150,SELECTY TECNOLOGIA PARA RH LTDA - ME
393,9268976000114,AMBIO PARTICIPACOES LTDA.
112,2921346000158,ANJO QUIMICA DO BRASIL LTDA
399,9452900000144,VIX TRANSPORTES DEDICADOS LTDA
404,9504718000190,ANIMATI SISTEMAS DE INFORMATICA LTDA
405,9511907000190,CODE7 SOFTWARES E PLATAFORMAS DE TECNOLOGIAS LTDA
408,9573540000139,EDUZZ TECNOLOGIA LTDA
409,9574379000118,SMS SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA
411,9585929000102,TBC SOLUÇÕES EM GESTÃO LTDA
413,9624235000129,WGC SISTEMAS LTDA
414,9643027000177,HANDCOM INOVACOES TECNOLOGICAS LTDA
415,10144211000151,INORTE SISTEMAS LTDA
417,10221986000183,MAXDATA SISTEMAS EIRELI
123,3321278000159,ANNETTA INDUSTRIA QUIMICA LTDA
422,10340101000165,RJ VENDAS E AUTOMACAO LTDA
425,10347407000143,"MEIRELES, FREITAS E ALMEIDA SERVICOS DE TELEATENDIMENTO LTDA"
427,10353029000100,INNERSYSTEM - INFORMATICA LTDA
127,3390128000105,LUMEN IT - TECNOLOGIA DA INFORMACAO LTDA
128,3471492000191,DIMASTEC GESTAO DE PONTO E ACESSO - EIRELI
431,10363084000181,MOVTI CLOUD SOLUTIONS LTDA
433,10414615000118,SPRO CONSULTORIA E INFORMATICA LTDA
131,3533289000100,FARMA & FARMA S/A
437,10495553000116,CHIPTRONIC ELETRONICA DO BRASIL LTDA
438,10497494000115,INOVADADOS LTDA
443,10579567000118,EAGLE TECNOLOGIA DA INFORMACAO LTDA
448,10673280000152,TPA CONSULTORIA E TECNOLOGIA EM INFORMA
450,10700815000137,IP SAO PAULO - SISTEMAS DE GESTAO EMPRESARIAL LTDA
451,10709188000103,"PIXEL GRAFICA, EDITORA E PRODUTOS DIGITAIS LTDA"
138,3618524000139,DKRO SISTEMAS PARA PRODUTIVIDADE E RESULTADO LTDA
456,10769033000154,SENSORWEB SERVICOS DE TECNOLOGIA DA INFORMACAO S/A
458,10797787000118,ADRIANA CORREIA DE ARAUJO
468,10973560000186,NUMEN IT SOLUCOES EM TECNOLOGIA LTDA
473,11051217000147,PROJURIS SISTEMAS LTDA
476,11172157000110,REDBELT SECURITY SISTEMAS E SOLUÇÕES DE SEGURANÇA DIGITAL LTDA
477,11197570000130,VERHAW SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA
145,3861791000132,GOLDLABEL ROTULOS E ETIQUETAS EIRELI
146,3871618000115,ATIVA GERENCIAMENTO DE RECURSOS LTDA
479,11208241000147,PANGELUPI TECNOLOGIA DA INFORMACAO LTDA
148,3910770000160,DISTRIBUIDORA DE BEBIDAS VALES DO RIO COURA LTDA
482,11267461000141,HORIZONTE TECNOLOGIA EDUCACIONAL LTDA.
489,11449100000116,ARV SYSTEM SOLUCOES E ROBOTICA EIRELI
490,11463371000126,AGROMETRIKA INFORMATICA E SERVICOS DE GESTAO DE CREDITO LTDA
492,11498408000151,MAILBIZ TECNOLOGIA DA INFORMACAO EIRELI
153,3971539000186,AGUIA BRANCA TURISMO LTDA.
497,11581859000158,N5 SOFTWARE LTDA
499,11736340000100,PORTARIA DO FUTURO LTDA
503,11827711000150,DDMX INTELIGENCIA EM ANALISE DE DADOS LIMITADA
508,11943666000108,STUDICA BRASIL SOFTWARE EIRELI
511,11976918000197,WISE DATABASE SOLUCOES EM TI LTDA
518,12278636000189,R C N CONSULTORIA E SISTEMAS LTDA
524,12499520000170,CLICKSIGN GESTAO DE DOCUMENTOS S/A
530,12605982000124,HIPER SOFTWARE S.A.
534,12669046000187,CONEXIA EDUCACAO LTDA
538,12816631000162,SHOPHUB INTERMEDIACAO LTDA
539,12824747000143,E F ZANIN TECNOLOGIA E SERVICOS
540,12841641000158,INGRUPO INVESTIMENTOS E PARTICIPAÇÕES EMPRESARIAIS S/A
541,12876507000192,I-VALUE TECNOLOGIA S.A.
542,12980776000102,INOVATECH NETWORK S/A
546,13119682000106,MEDCLOUD TECNOLOGIA MEDICA LTDA
548,13160631000110,PARSEINT DESENVOLVIMENTO DE SISTEMAS LTDA
554,13331790000130,VIVIANE EUZEBIO & CIA LTDA
558,13449696000180,SSI-TI SOLUCOES E SERVICOS EM INFORMATICA LTDA
562,13749521000198,EASYJUR TECNOLOGIA E SISTEMAS EIRELI
571,14153062000148,CR - SISTEMA E ANALISE EM ARQUIVOS MAGNETICOS LTDA
577,14364298000123,ADEPTMEC SOFTWARES LTDA
580,14454963000170,SISQUAL - EMPRESA DE PESQUISA E DESENVOLVIMENTO DE SISTEMAS DE INFORMACAO LTDA
586,14537034000124,ARAUJO & PRADO LTDA
593,14768383000157,OKSER SOFTWARE E SERVICOS EM INFORMATICA LTDA
178,4452037000101,CALDAS E CALDAS S.A
595,14854135000129,SARTECH SISTEMAS LTDA
180,4559145000188,POLLO & CUNHA CONSULTORIA DE BENEFICIOS E CORRETORA DE SEGUROS LTDA
601,15034470000143,ZAHI CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA
602,15058982000140,RAFAEL ANTONIO WISCH NEVES
603,15069117000107,J.J. FEMINA
184,4592872000147,LICURANA IMOBILIARIA LTDA.
612,15426652000160,NARWAL TECNOLOGIA S.A.
631,16553832000175,SPS GESTAO EMPRESARIAL LTDA
633,16652800000127,IBRIDGE LTDA
639,16792427000100,INFOMARKET LTDA
642,16946270000120,COMPANY DESENVOLVIMENTO E LICENCIAMENTO DE SOFTWARES LTDA
190,4713695000100,STARLIN ALTA EDITORA E CONSULTORIA - EIRELI
655,17353409000194,EDUCO SERVICOS LTDA
656,17416404000163,INTEGRATE CONSULTORIA EMPRESARIAL LTDA
193,4721465000192,KLEINER SCHEIN INDUSTRIA DE MOVEIS E DECORACOES LTDA
660,17594848000199,JURITIS COMERCIO E SERVICOS DE INFORMATICA LTDA
664,17772816000136,GLOBAL GESTAO CORPORATIVA DE SISTEMAS E PROCESSOS EIRELI
668,18055283000134,SERNET SERVICOS EM TECNOLOGIA LTDA
673,18180788000120,VG RESIDUOS PLATAFORMA ONLINE LTDA
685,18457536000104,FACILITA TECNOLOGIA S/A
689,18538489000115,INRADAR APP LTDA
694,19011529000139,GUEP SOLUCOES CORPORATIVAS S/A
695,19020360000183,LGG RIBEIRO SERVICOS E SUPORTE DE SISTEMAS
697,19097645000112,DIGITAL SOLVERS LTDA
203,4908929000174,PLOT SERVICOS COMERCIAIS E TECNOLOGICOS LTDA
703,19250429000165,ERPLAN CONSULTORIA EMPRESARIAL LTDA
706,19376162000157,TTO SERVIÇOS EM INFORMATICA LTDA
711,19859338000121,BUSINESS MACHINE SYSTEMS TECNOLOGIA LTDA
207,5033902000148,RHEDE SISTEMAS LTDA
719,20231241000159,E-VAL COMERCIO E SERVICOS DE INFORMATICA EM SAUDE LTDA.
720,20231425000119,CABM SOLUCOES E INOVACAO EM PROGRAMACAO LTDA
724,20327872000176,FUSION SOFTWARE E SERVICOS S/A
211,5080938000182,N & C INFORMATICA LTDA
732,20738490000135,PREMIERTECH S.A
734,20833732000170,FRONTSYS SISTEMAS LTDA
735,20848861000131,TAXCEL SOLUCOES FISCAIS S.A.
739,21043282000265,LEITURINHA S.A.
744,21230335000176,DESTRA TECNOLOGIA LTDA
746,21370386000101,STILINGUE INTELIGENCIA ARTIFICIAL LTDA.
218,5362378000159,TRANSUM CARGAS RAPIDAS EIRELI
747,21389427000101,TERGOS S.A.
220,5388357000102,INFOTV COMUNICACOES LTDA
748,21505378000117,BRID CONSULTORIA E SOLUCOES LTDA
826,23961491000132,TRACKAGE TECNOLOGIA LTDA
763,22168141000150,ARKMEDS SOLUCOES TECNOLOGICAS EIRELI
764,22194541000130,GEEK HUNTER SELECAO E AGENCIAMENTO DE MAO-DE-OBRA LTDA
767,22233581000144,AX4B SISTEMAS DE INFORMATICA LTDA
768,22272481000127,M2D CONSULTORIA E ASSESSORIA EM INFORMATICA EIRELI
227,5457125000169,"GELOG - COMERCIO, LOGISTICA, LOCACOES, SERVICOS E TRANSPORTES LTDA"
772,22379394000173,GOLD SOLUCOES EM SOFTWARE FINANCEIROS LTDA
775,22423374000152,CONNECTPLUG DESENVOLVIMENTO DE SOFTWARES LTDA.
779,22588947000106,AUTO FORCE PLATAFORMA DE MARKETING DIGITAL LTDA
231,5485279000164,FALCONI CONSULTORES S.A.
232,5490021000156,SUPERA SISTEMAS E SOLUCOES EM INFORMATICA LTDA
783,22755266000187,ACCESS GESTAO DE DOCUMENTOS LTDA.
234,5505390000175,FUNDACAO DE APOIO AO INSTITUTO DE PESQUISAS TECNOLOGICAS - FIPT
784,22774156000162,WF PRODUTOS DE INFORMATICA LTDA
236,5565519000130,MARTINS - SOLUCOES PARA ESCRITORIOS EIRELI
801,23322556000108,COBMAIS - SOLUCOES EM COBRANCAS LTDA
803,23360407000125,YNOS INFORMATICA - EIRELI
806,23412408000176,WEK - TECHNOLOGY IN BUSINESS LTDA
808,23447896000157,EVOLUCIONAL EDITORA E SERVICOS DE INFORMACAO EM INTERNET LTDA
812,23479438000108,VAREJONLINE TECNOLOGIA E INFORMATICA S/A
814,23517870000138,FACHER TECNOLOGIA LTDA
822,23809139000186,GOFIND.ONLINE PORTAL S/A
823,23846779000166,SOG INOVACOES TECNOLOGICAS LTDA
824,23870826000107,ERPSERV CONSULTORIA DE SISTEMAS LTDA
1235,42708864000102,SWOOD TECNOLOGIA E PAGAMENTOS LTDA
834,24367904000118,OTTIMIZZA SISTEMAS CONTABEIS LTDA
839,24447612000195,METRICAS BOSS LTDA
840,24453363000140,AGIDESK SOLUCOES EM TECNOLOGIA LTDA
250,5794609000101,NEOGRID INFORMATICA LTDA
251,5806253000170,MATEKDATA COMÉRCIO E SERVIÇOS EM SISTEMAS DE TELEINFORMÁTICA LTDA - EPP
845,24641922000146,PROLUNO TECNOLOGIA PARA EDUCACAO LTDA
849,24734420000160,IZIO MARKETING DIRETO S.A.
852,24783329000134,QUALITYCERT CERTIFICACAO LTDA
856,25005259000156,REDE VISTORIAS FRANCHISING S/A
862,25076779000150,ACTTIVE LTDA
878,26314062000161,SANKHYA JIVA TECNOLOGIA E INOVACAO LTDA
891,26899987000111,GHR SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA
897,27053196000139,DOCTORALIA BRASIL SERVICOS ONLINE E SOFTWARE LTDA
912,27559516000127,PRECO CERTO PRECIFICACAO E INDICADORES FINANCEIROS LTDA
913,27562527000166,INOVAGE PARTNER & ASSOCIATES TECNOLOGIA DA INFORMACAO LTDA
917,27801556000133,MOBI7 TECNOLOGIA EM MOBILIDADE S.A.
918,27811360000120,AGROINTELI TECNOLOGIA LTDA
921,27841715000123,WS DIGITAL LTDA
923,27849376000121,PROV INTERNATIONAL BRAZIL SERVICOS DE TECNOLOGIA LTDA.
266,6179861000165,SEIDOR - TECNOLOGIA DA INFORMACAO LTDA.
267,6198864000146,RUMO INFORMATICA LTDA
926,27864392000193,IGROW SOLUCOES DIGITAIS LTDA.
931,27902981000119,DIGIBEE - SOLUCOES EM TECNOLOGIA EIRELI
940,28112279000114,LOOK BR CONSULTORIA DE MODA ONLINE LTDA
941,28140540000190,Imaginex Education
942,28159459000151,INOVE DESENVOLVIMENTO E INOVACAO LTDA
945,28208230000160,SMARTRIPS LTDA
946,28302604000101,ME . PAY SOLUCOES FINANCEIRAS S/A
951,28445090000143,VC CLOUD TECNOLOGIA LTDA
276,6698676000187,TEXS SERVICOS DE INFORMATICA LTDA
954,28610212000100,TRADEBACK SERVICOS DE TECNOLOGIA LTDA
959,28729110000108,DNA DA EDUCACAO S/A
960,28747374000194,5W2H GESTAO EMPRESARIAL EIRELI
969,29067310000105,UMENTOR DESENVOLVIMENTO E TREINAMENTO LTDA
974,29255677000152,CLICK LAUDOS EM TELEMEDICINA
282,7029586000166,F6 SISTEMAS DE INFORMATICA LTDA
977,29325233000146,DENOUNCEFY CANAL DE MANIFESTACAO LTDA
978,29327781000105,INTERAKT SOLUCOES DE ENGENHARIA LTDA
979,29565236000157,I9TEC SOLUCOES EM TECNOLOGIA LTDA.
985,29780984000152,MEURESIDUO SOLUCOES TECNOLOGICAS LTDA
287,7119333000183,SIGMA ASSESSORIA E CONTABILIDADE LTDA
1002,30288456000160,BI-ACTION TECNOLOGIA LTDA
1008,30506048000137,RUNSMART SOLUCOES EM INFORMATICA EIRELI
290,7233324000119,SIX CONSULT TECNOLOGIA DA INFORMACAO LTDA
1016,30807025000162,TBC AGRO SOLUCOES EM GESTAO LTDA
292,42929305000122,OFN ATENDIMENTO ESPECIALIZADO LTDA
1017,30809195000186,NEOMED TECH CONSULTORIA EM TI LTDA
1020,30995871000153,GOFLUX TECNOLOGIA DA INFORMACAO LTDA
1025,31265901000139,DLG TECNOLOGIA LTDA
1040,31627840000102,VARPLAN SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA
1041,31807477000107,WELLBE DESENVOLVIMENTO DE SISTEMAS LTDA
1044,31896969000116,RECRUTAI PROGRAMAS DE COMPUTADOR LTDA
1047,31951380000173,LINKAPI TECNOLOGIA S.A
1064,32862478000117,DIGILIZA SOFTWARE LTDA
1065,32877411000156,HAPROJET SOLUCOES TECNOLOGICAS EM ARQUITETURA E ENGENHARIA LTDA.
1069,33024870000150,SECONDS DESENVOLVIMENTO E LICENCIAMENTO DE SOFTWARES EIRELI
303,7640028000132,ALFA SISTEMAS DE GESTAO LTDA
1072,33177186000108,AGANTE TECNOLOGIA LTDA
1073,33207548000166,CONECTA CONSULTORIA DE TECNOLOGIA ERP LTDA
1078,33412921000110,VELO COBRANCA LTDA
1084,33655962000138,VALOR TECNOLOGIA DESENV E LICENC DE SOFT E PARTICIPACOES LTDA
1086,33658291000169,SYSTOCK DESENVOLVIMENTO E LICENCIAMENTO DE SOFTWARE - LTDA
1098,34259615000159,PX AGENCIAMENTO DE SERVIÇOS LTDA
310,7716779000195,IAMIT SOLUCOES EM TECNOLOGIA LTDA
1100,34280579000105,WILLIAM RAFAEL BARRETO LOHN
1115,35115532000159,SUFLEX TECNOLOGIA LTDA.
1119,35309147000142,MIMO LIVE SALES LTDA
1120,35311262000151,FLOKI TECHNOLOGIES LTDA
315,7774659000144,AVENTAL 10 COMERCIO DE UNIFORMES LTDA
316,7777293000167,ITRIB INTELIGENCIA TRIBUTARIA LTDA
1123,35515206000139,G2L DIGITAL TRANSFORMATION STRATEGIES DO BRASIL SERV DE CONS EM TEC DA INFO LTDA
1133,35975017000149,SAVVI COMPUTACAO E SERVICOS DE DADOS LTDA
1143,36420818000100,LOGUS SISTEMAS LTDA
1154,37058841000160,MARCELO MICHELS ALEXANDRE
1158,37153549000126,CYTES SOLUCOES TECNOLOGICAS S.A.
322,7792897000182,FELLIPELLI INSTRUMENTOS DE DIAGNOSTICO E DESENVOLVIMENTO ORGANIZACIONAL LTDA
1163,37281974000109,DOUTOR AO VIVO SOLUCOES EM TECNOLOGIA S A
1166,37456158000180,APRESENTA.ME TECNOLOGIA E GESTAO PARA IMOBILIARIAS LTDA
325,7811589000157,RASTREAR PRODUTOS AGROPECUARIOS LTDA
1168,37509798000101,AGROFINDER INTERMEDIACAO E AGENCIAMENTO DE NEGOCIOS LTDA
1176,38001661000104,EXIMIO HOSPITALAR LTDA
1187,38743738000111,EAC ENGENHARIA AUTOMACAO E CONTROLE S.A
1188,39270012000171,MD SISTEMAS DE COMPUTACAO LTDA
1191,39469454000141,GESTAO MAIS FACIL LTDA
331,7961628000100,PATRICIA CASSEANO COMUNICACAO EMPRESARIAL LTDA
1193,39591489000159,PET AO VIVO TECNOLOGIA E SISTEMAS LTDA
1196,39773730000160,BIOMETRIC AGREEMENT DO BRASIL LTDA
1197,39780645000120,FUTTURIS TECNOLOGIA LTDA
1212,40864737000177,BOTY SOFTWARE E SERVICOS LTDA
336,8031066000150,COMPOSTOS DO BRASIL LTDA
1213,40891799000178,ANDRE DE VASCONCELOS MELO TECNOLOGIA DA INFORMACAO LTDA
1226,41767712000118,TAM SERVIÇO DE INFORMATICA
339,8053527000196,QUALITA OUTSOURCING E CONSULTORIA LTDA
327,7879222000175,ALTERA CONSULTORIA E ASSESSORIA EM MARKETING LTDA
1236,42790097000123,AVANCO INFORMATICA LTDA
1263,47539162000166,PRIVA EXPERIENCIAS LTDA
1277,53812442000107,PRODUSOFT ASSESSORIA E SERVICOS DE INFORMATICA S/C LTDA
1279,54517628003375,LINX SISTEMAS E CONSULTORIA LTDA
1284,56631013000113,INOVAR ASC SOLUCOES EM ERP LTDA
346,8268865000145,LUMMA CONSTRUCOES LTDA
1285,56936107000109,SUPPORT INFORMATICA EQUIPAMENTOS E SISTEMAS LTDA
348,8298672000137,MERCOSUL VEICULOS LTDA
1289,57861163000186,NVRS ELABORACAO DE PROGRAMAS LTDA
350,8329483000346,VICTOR HUGO DOS SANTOS PEREIRA ARTIGOS DO VESTUARIO EIRELI
1291,58802992000150,MACDATA TECNOLOGIA LTDA
1292,58954868000100,PLUSOFT INFORMATICA S/A.
1294,59704510000192,TOLEDO DO BRASIL INDUSTRIA DE BALANCAS LTDA
354,8444319000118,CRITERIA INDUSTRIA E COMERCIO DE PRODUTOS MEDICINAIS E ODONTOLOGICOS LTDA
1299,60642774000148,OTTO BAUMGART INDUSTRIA E COMERCIO S A
1305,62559695000101,BREDA'S INFORMATICA LTDA
1308,62700455000177,CIA. BRASILEIRA DE SOFTWARE E SERVICOS LTDA
1309,63027692000181,ABC71 SOLUCOES EM INFORMATICA S.A.
1310,63542443000124,FORTES TECNOLOGIA EM SISTEMAS LTDA
1311,63904759000119,SOLUCAO INFORMATICA JUNDIAI LTDA
361,8628071000145,SEKUR TECNOLOGIA LTDA
1314,65187908000100,UNIVERSAL SOFTWARE LTDA
1316,65500886000188,MOVIMATIC ENGENHARIA DE AUTOMACAO INDUSTRIAL E COMERCIO LTDA.
1318,67205518000132,EVOLUA EDUCACAO LTDA
1322,68929215000125,HDI COMERCIO E SERVICOS DE INFORMATICA LTDA
1328,72697600000161,CONCIL INTELIGENCIA EM CONCILIACAO S.A.
1331,73845786000111,CHOICE TECHNOLOGIES S.A
368,8731293000199,ETHIMOS INVESTIMENTOS AGENTE AUTONOMO DE INVESTIMENTOS LTDA.
1342,79011862000170,QUESTOR SISTEMAS S.A.
1346,79500385000106,CONSISTEM SISTEMAS LTDA
1347,79561841000128,PRODUTEC INFORMATICA LTDA
1351,80680093000181,SENIOR SISTEMAS S/A
373,8787226000196,ABPLASTIC - INDUSTRIA DE EMBALAGENS LTDA
374,8787726000128,RR ASSET INDUSTRIA DE EMBALAGENS FLEXIVEIS LTDA
1352,80680093002397,SENIOR SISTEMAS S/A
376,8836659000194,JULIANO SENS PREPARACAO E COM. VAREJISTA DE ARGAMASSA E MAT. DE CONSTRUCAO
1353,80750714000156,MANAGER CONSULTORIA EM INFORMATICA EIRELI
1354,81329823000167,SKA AUTOMACAO DE ENGENHARIAS LTDA
379,8899125000107,USINGA IMPLEMENTOS LTDA
1356,82213604000180,"CISS CONSULTORIA EM INFORMATICA, SERVICOS E SOFTWARE S/A"
381,8917570000152,IMPACTA MIDIA & MARKETING LTDA
1357,82413816000101,AGROTIS AGROINFORMATICA LTDA
1359,82674565000119,MARRARI AUTOMACAO INDUSTRIAL LTDA
1361,83055855000147,ANDERSON BINOTTO & CIA LTDA
1369,85093250000176,HABIL SOFTWARE LTDA
1379,90983636000193,SIL SISTEMAS & INFORMATICA LTDA
1386,93578813000144,CIGAM SOFTWARE CORPORATIVO S.A.
388,9156285000129,GSR SERVICOS EM INFORMATICA LTDA
1395,640736000124,MVARANDAS TECNOLOGIA SERVICO LTDA
1396,846686000136,HORUS INFORMATICA LTDA
1401,2213971000145,DELPHI INFORMATICA LTDA
1402,2365581000190,BLUWARE INFORMATICA LTDA
1411,7025063000141,IDEALOGIC SOFTWARE LTDA
394,9298828000142,FLEX - DE LTDA
1420,9570403000140,PULSES SERVICOS DIGITAIS LTDA
396,9376370000100,DTEL TELECOM LTDA
1426,13418088000108,CAMTWO SISTEMAS LTDA
1427,13619615000142,LD CONSULTORIA EM GESTAO EMPRESARIAL LTDA
1435,20513804000100,SD SOFTWARES E SUPORTE EMPRESARIAL LTDA
1436,20634675000108,SMARTCON CONSULTORIA EM TECNOLOGIA LTDA
401,9461647000195,SOLUTI - SOLUCOES EM NEGOCIOS INTELIGENTES S/A
1438,21370725000141,PIN PEOPLE TECNOLOGIA APLICADA A PESSOAS LTDA.
