cnpj,filtro1,agendamentos,vendas,cadencias,workflows,searching,ligacoes,whatsapp,buscador,exact_club,mkt,crm
00452461000103,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00452758000160,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00456865000167,1.0,0.0,0.0,2.0,0,0.0,9.0,False,0.0,False,False,False
00472968000110,1.0,5.0,0.0,0.0,1,6196.0,1264.0,False,0.0,False,False,False
00473342000129,1.0,0.0,0.0,5.0,0,0.0,0.0,False,0.0,False,False,False
00495819000177,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00507405000110,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00520304000180,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00530341000179,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00549079000104,1.0,0.0,2.0,0.0,2,0.0,0.0,False,0.0,False,False,False
00551775000155,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00553123000150,1.0,0.0,1.0,0.0,3,0.0,0.0,False,0.0,False,False,False
00557939000151,1.0,0.0,0.0,2.0,3,0.0,61.0,False,0.0,False,False,False
00565357000117,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00568073000184,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00569905000187,1.0,375.0,27.0,0.0,6,0.0,881.0,False,0.0,False,True,True
00587132000161,3.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00592231000131,1.0,0.0,0.0,1.0,2,0.0,0.0,False,0.0,False,False,False
00595154000173,1.0,0.0,0.0,1.0,3,0.0,0.0,False,0.0,False,False,False
00608593000173,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00612182000151,27.0,2.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00618922000167,1.0,4.0,0.0,3.0,3,334.0,383.0,False,11.6,False,False,False
00640736000124,4409.0,1061.0,257.0,1.0,18,4.0,16574.0,False,0.0,False,False,False
00668752000125,1.0,342.0,59.0,2.0,5,6285.0,3685.0,False,0.0,False,False,True
00671063000170,1.0,0.0,0.0,1.0,0,0.0,0.0,False,0.0,False,False,False
00679223000127,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00712911000141,1.0,45.0,21.0,0.0,1,266.0,823.0,False,0.0,False,False,False
00714671000114,1.0,27.0,1.0,2.0,4,535.0,71.0,False,1.2,False,True,False
00714679000180,1.0,76.0,3.0,1.0,20,306.0,874.0,False,4.8,False,False,False
00720263000175,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
00729160000176,1.0,0.0,0.0,0.0,4,0.0,0.0,False,0.0,False,False,False
00729687000443,1.0,0.0,0.0,1.0,3,2727.0,0.0,False,0.0,False,False,False
00732684000116,14.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
00738833000154,1.0,103.0,219.0,9.0,6,0.0,2337.0,False,0.0,False,False,False
00741668000190,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00764452000140,20492.0,959.0,89.0,13.0,21,0.0,41068.0,False,0.0,False,False,False
00764452000140,20492.0,959.0,89.0,13.0,21,0.0,0.0,False,0.0,False,False,False
00783967000197,16.0,1.0,0.0,0.0,5,0.0,0.0,False,0.0,False,False,False
00802235000792,1.0,23.0,5.0,0.0,2,1.0,2644.0,False,0.0,False,True,True
00802235001179,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00808152000115,245.0,181.0,62.0,6.0,10,172.0,568.0,False,0.0,False,False,False
00808152000115,245.0,181.0,62.0,6.0,10,172.0,1959.0,False,0.0,False,False,False
00810559000187,1493.0,126.0,3.0,0.0,1,189.0,0.0,False,0.0,False,False,False
00810559000187,1493.0,126.0,3.0,0.0,1,189.0,14360.0,False,0.0,False,False,False
00823358000114,1.0,0.0,0.0,0.0,5,0.0,0.0,False,0.0,False,False,False
00824398000180,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
00830204000150,1.0,0.0,0.0,0.0,5,9.0,0.0,False,1.6,False,False,False
00831565345,1.0,0.0,0.0,5.0,4,0.0,0.0,False,0.0,False,False,False
00834971000137,1.0,0.0,0.0,0.0,5,85.0,1240.0,False,0.0,False,False,False
00838926000150,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00843598000180,2.0,292.0,18.0,4.0,4,0.0,0.0,False,0.0,False,False,False
00843598000180,2.0,292.0,18.0,4.0,4,0.0,123.0,False,0.0,False,False,False
00843962000102,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00846686000136,1.0,40.0,4.0,0.0,5,5.0,185.0,False,5.6,False,True,False
00851124000180,1.0,0.0,0.0,0.0,5,0.0,0.0,False,0.0,False,False,False
00863006000192,1.0,0.0,0.0,0.0,3,1162.0,0.0,False,0.0,False,False,False
00865557000195,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00865599000126,3125.0,3105.0,191.0,0.0,10,0.0,0.0,False,0.0,False,False,False
00869830000150,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00884485000123,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00884713000165,3502.0,171.0,6.0,0.0,1,0.0,31308.0,False,0.0,False,False,False
00884713000165,3502.0,171.0,6.0,0.0,1,0.0,47253.0,False,0.0,False,False,False
00885710000146,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00888572000159,1.0,0.0,0.0,2.0,4,0.0,0.0,False,0.0,False,False,False
00892482000131,1.0,41.0,0.0,0.0,2,35.0,528.0,False,0.0,False,False,True
00893500000108,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00910509000171,1133.0,2097.0,54.0,164.0,12,0.0,0.0,False,0.0,False,False,False
00910509000171,1133.0,2097.0,54.0,164.0,12,0.0,365.0,False,0.0,False,False,False
00910509000171,1133.0,2097.0,54.0,164.0,12,0.0,321.0,False,0.0,False,False,False
00910509000171,1133.0,2097.0,54.0,164.0,12,0.0,10.0,False,0.0,False,False,False
00913664000141,3.0,3.0,0.0,2.0,3,0.0,0.0,False,0.0,False,False,False
00918670000191,2225.0,41.0,0.0,1.0,3,458.0,13834.0,False,0.0,False,False,False
00920861000198,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00921821000160,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
00927360000133,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
00950386000100,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00954716000390,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
00955483000188,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00959743000193,1.0,3.0,0.0,0.0,2,347.0,623.0,False,0.6,False,False,False
00960027000126,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00979304000142,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
00999856000112,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01021501000117,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01023164000105,300.0,286.0,0.0,2.0,2,0.0,1380.0,False,0.0,False,False,False
01025202000150,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01029475000173,1.0,0.0,0.0,1.0,1,239.0,18.0,False,0.0,False,False,False
01054873000140,1.0,0.0,0.0,2.0,0,0.0,0.0,False,0.0,False,False,False
01058041000100,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01064789000107,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01066625000208,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01084671000493,1.0,0.0,1.0,3.0,1,0.0,0.0,False,0.0,False,False,False
01093501000122,1.0,36.0,10.0,0.0,10,0.0,279.0,False,0.0,False,True,False
01097735000148,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01099318000134,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01105652000153,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01114682000126,1.0,0.0,0.0,1.0,0,0.0,0.0,False,0.0,False,False,False
01121592000162,2.0,2.0,0.0,1.0,1,0.0,0.0,False,0.0,False,False,False
01121592000162,2.0,2.0,0.0,1.0,1,0.0,424.0,False,0.0,False,False,False
01127309000100,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01137217000100,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
01146051000199,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01163538000180,1.0,2.0,0.0,0.0,3,101.0,1224.0,False,0.0,True,False,True
01164555000131,1.0,612.0,61.0,0.0,17,2242.0,8949.0,False,0.0,False,True,False
01170691000134,1.0,7.0,0.0,1.0,3,0.0,735.0,False,0.0,False,False,False
01171589000153,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
01179445000810,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01198721000110,751.0,141.0,2.0,0.0,6,450.0,3218.0,False,0.0,False,False,True
01204497000122,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01227347000134,1.0,0.0,3.0,1.0,2,624.0,2.0,False,6.0,False,True,False
01234750000190,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
01239608000136,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01247661000189,1.0,54.0,0.0,0.0,3,0.0,828.0,False,0.0,False,False,True
01248111000184,1.0,7.0,1.0,0.0,1,42.0,40.0,False,0.0,False,False,False
01261309000106,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01272361000150,1.0,0.0,4.0,0.0,8,150.0,12.0,False,0.0,False,False,False
01273810000184,172.0,15.0,0.0,1.0,3,0.0,0.0,False,0.0,False,False,False
01273810000184,172.0,15.0,0.0,1.0,3,0.0,87.0,False,0.0,False,False,False
01275335000185,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01277298000144,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01298443000173,21.0,19.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
01305124000148,1.0,30.0,11.0,0.0,1,0.0,1291.0,False,0.0,False,False,True
01318001000141,1.0,3.0,2.0,0.0,3,49.0,2.0,False,0.8,False,False,False
01339695000101,3578.0,668.0,55.0,0.0,2,0.0,18148.0,False,0.0,False,False,False
01347878000160,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,True
01352926000109,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01371416000189,1.0,2.0,1.0,0.0,6,349.0,44.0,False,3.2,False,False,False
01382559000196,1.0,0.0,0.0,0.0,0,103.0,0.0,False,0.0,False,False,False
01413092000102,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01415517000104,1.0,88.0,3.0,6.0,6,0.0,7231.0,False,0.0,False,False,True
01421225000184,1.0,63.0,1.0,6.0,6,766.0,15713.0,False,0.2,True,False,False
01424895000154,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01426365000145,1.0,534.0,156.0,1.0,8,0.0,1790.0,False,0.0,True,True,False
01433241000197,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01439881000104,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01448236000158,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
01466537000104,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01468594000122,1.0,0.0,0.0,0.0,1,133.0,1.0,False,0.0,False,False,False
01471899000193,1.0,26.0,1.0,2.0,9,367.0,5738.0,False,35.8,True,True,True
01477885000187,1.0,719.0,101.0,1.0,8,0.0,4990.0,True,0.4,True,False,False
01480798000189,1.0,8.0,20.0,7.0,4,0.0,3678.0,False,0.0,False,False,False
01482939000100,1.0,4.0,0.0,2.0,3,0.0,631.0,False,0.0,False,False,False
01485092000100,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01533865000186,64.0,9.0,1.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01549753000113,1.0,0.0,1.0,1.0,6,24.0,14.0,False,0.2,False,False,False
01559877000180,1.0,0.0,0.0,1.0,0,0.0,0.0,False,0.0,False,False,False
01615998000100,99.0,38.0,13.0,0.0,2,695.0,0.0,False,0.0,False,False,False
01615998000100,99.0,38.0,13.0,0.0,2,695.0,3.0,False,0.0,False,False,False
01622864000108,1.0,0.0,0.0,0.0,2,0.0,4.0,False,0.0,True,False,False
01636066000135,1.0,0.0,0.0,1.0,1,0.0,0.0,False,0.0,False,False,False
01638276000162,1.0,0.0,0.0,0.0,5,0.0,0.0,False,0.0,False,False,False
01640776000139,1.0,0.0,0.0,0.0,5,0.0,0.0,False,0.0,False,False,False
01650765000130,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01652732000129,1.0,5.0,1.0,0.0,6,483.0,2141.0,False,0.6,False,False,False
01664949000159,2742.0,1048.0,45.0,0.0,0,0.0,9372.0,False,0.0,False,False,False
01675208000173,1.0,145.0,29.0,0.0,5,1589.0,8107.0,False,0.0,False,True,False
01678539000167,1.0,0.0,0.0,0.0,6,0.0,0.0,False,0.0,False,False,False
01685851000188,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01690356000167,1.0,0.0,0.0,0.0,1,645.0,0.0,False,0.0,False,False,True
01707536000104,1.0,0.0,0.0,1.0,4,0.0,0.0,False,0.0,False,False,False
01722935000144,1.0,0.0,0.0,0.0,3,567.0,22.0,False,14.2,False,False,False
01726867000191,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01729273000134,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01739571000105,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01741337000112,1.0,0.0,0.0,2.0,6,0.0,0.0,False,0.0,False,False,False
01746918000147,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
01768873000101,1049.0,711.0,21.0,1.0,5,0.0,15197.0,False,0.0,False,False,False
01777907000124,967.0,668.0,7.0,1.0,0,0.0,2166.0,False,0.0,False,False,False
01790382000167,1.0,0.0,0.0,1.0,1,0.0,0.0,False,0.0,False,False,False
01807688000189,11.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01808382000147,1.0,4.0,0.0,2.0,3,356.0,856.0,False,10.4,False,True,True
01811362000125,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01814778000105,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01846345000123,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01855226000137,2.0,1616.0,177.0,0.0,22,0.0,0.0,False,0.0,False,True,False
01855226000137,2.0,1616.0,177.0,0.0,22,0.0,38455.0,False,0.0,False,True,False
01867792000169,5347.0,358.0,26.0,0.0,9,3179.0,42374.0,False,0.0,False,False,False
01887130000150,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01891335000100,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
01894253000119,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01914765000108,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01919316000144,1.0,26.0,0.0,2.0,6,1034.0,2363.0,False,0.0,False,False,True
01921367000100,1.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
01926868000180,1.0,0.0,0.0,0.0,2,0.0,0.0,False,0.0,False,False,False
01931207000142,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01933058000150,1.0,0.0,0.0,1.0,1,0.0,0.0,False,0.0,False,False,False
01934404000115,2.0,1662.0,1031.0,1.0,0,0.0,9528.0,False,0.0,False,True,False
01934404000115,2.0,1662.0,1031.0,1.0,0,0.0,1323.0,False,0.0,False,True,False
01936069000194,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01942883000111,70.0,9.0,0.0,0.0,4,1141.0,1591.0,False,0.0,False,False,False
01943329000159,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01950338000177,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
01955849000181,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
019598484000140,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
01969493000135,4611.0,479.0,145.0,2.0,5,1825.0,1587.0,False,0.0,False,False,False
01972392000113,1.0,0.0,0.0,0.0,0,0.0,0.0,False,21.4,False,False,False
02010893000181,1.0,0.0,0.0,2.0,5,60.0,0.0,False,0.0,True,False,False
02029749000197,1.0,6.0,2.0,1.0,3,558.0,408.0,False,0.0,False,False,False
02041190000110,1.0,0.0,0.0,1.0,0,0.0,0.0,False,0.0,False,False,False
02044526000360,1.0,493.0,44.0,2.0,18,920.0,37910.0,False,0.0,True,False,True
02045747000191,1.0,12.0,3.0,0.0,5,2.0,1210.0,False,0.0,False,False,True
02054535000170,1.0,0.0,0.0,1.0,4,0.0,0.0,False,0.0,False,False,False
02064565000168,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02067638000175,1.0,0.0,0.0,2.0,1,0.0,0.0,False,0.0,False,False,False
02070887000110,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02074026000100,2.0,9.0,0.0,0.0,6,199.0,484.0,False,0.0,False,False,False
02089950000160,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02095282000183,1.0,318.0,30.0,2.0,2,0.0,3557.0,False,0.0,False,True,True
02096802000172,2.0,630.0,195.0,0.0,4,0.0,0.0,False,0.0,False,False,False
02096802000172,2.0,630.0,195.0,0.0,4,0.0,8339.0,False,0.0,False,False,False
02101894000131,1.0,49.0,8.0,0.0,5,3481.0,10.0,False,2.6,False,False,False
02125822000124,1.0,0.0,0.0,0.0,0,0.0,2.0,False,0.0,False,False,False
02129949000111,3.0,50.0,151.0,1.0,3,0.0,9865.0,False,0.0,False,False,False
02129949000111,3.0,50.0,151.0,1.0,3,0.0,0.0,False,0.0,False,False,False
02131834000161,1.0,0.0,0.0,2.0,3,0.0,0.0,False,0.0,False,False,False
02157629000175,1.0,48.0,4.0,0.0,2,0.0,3147.0,False,1.0,False,False,True
02161582000113,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02166091000165,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02180620000185,3.0,0.0,0.0,0.0,1,0.0,0.0,False,0.0,False,False,False
02187647000108,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
02206128000131,1.0,13.0,0.0,0.0,14,10.0,1676.0,False,0.0,False,False,False
02213971000145,1.0,4.0,13.0,0.0,1,2.0,1.0,False,0.0,False,False,False
02227843000150,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02244592000112,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02250586000178,352.0,219.0,18.0,2.0,0,0.0,1021.0,False,0.0,False,False,False
02254361000190,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02255187000108,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02255935000144,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02264664000193,1.0,0.0,0.0,1.0,1,0.0,0.0,False,0.0,False,False,False
02277201000166,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,False,False,False
02283330000167,2.0,4.0,1.0,0.0,4,10.0,0.0,False,0.0,False,False,False
02283330000167,2.0,4.0,1.0,0.0,4,10.0,65.0,False,0.0,False,False,False
02286106000200,1.0,111.0,5.0,2.0,5,0.0,3414.0,False,0.0,False,False,False
02288055000417,216.0,270.0,2.0,29.0,12,1101.0,588.0,False,5.0,True,True,False
02288055000417,216.0,270.0,2.0,29.0,12,1101.0,21192.0,False,5.0,True,True,False
02295505000156,1.0,0.0,0.0,0.0,0,0.0,25.0,False,0.0,False,False,False
02297602000188,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02305660000106,1.0,0.0,0.0,0.0,4,0.0,0.0,False,0.0,False,False,False
02307513000175,1.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,False,False,False
02310124000107,1.0,0.0,0.0,0.0,3,0.0,0.0,False,0.0,True,True,False
02310359000190,1.0,15.0,71.0,2.0,5,108.0,304.0,False,0.0,False,True,False
02311023000142,1.0,12.0,1.0,6.0,4,307.0,38.0,False,0.0,False,False,False
02315713000170,1.0,0.0,0.0,3.0,4,0.0,0.0,False,0.0,False,False,False
