Id Spotter,CNPJ,Razão Social,Status,Data base,Data churn,LT (Meses),MRR Inicial,MRR Total (Atual),Spotter (R$),Comunicação (R$),Searching (R$),Exact Club (R$),Nº de Funcionarios Linkedin (Sobre),Nº funcionarios Conectados Linkedin,Link do LinkedIn,Porte (ajustado),Porte da Empresa segundo Receita Federal,Porte da Empresa segundo base de dados do Searching,Mercado,Sub setor,Leads em entrada,Agendamentos,Vendas,Cadencia ativa,Workflow ativo,Atividades concluidas,Numero de usuáros,Integração Inbound,Integração CRM,Minutos telefonia,Origem,Upsell (Sim / Não),Upsell (Nº),Upsell (R$),Downsell (Sim/Não),Downsell (Nº),Downsell (R$),Tipo de contrato,CNPJ
11755,17.032.914/0001-37,MONTRE MARKETING LTDA,Churn,01/01/2022,20/12/2022,11,547,547,398,0,149,,11-50,13,https://www.linkedin.com/company/montre/about/,Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,5,1,0,0,12,"33,5",4,RDStation,,3,BDR,Não,0,0,,,,ANUAL,17032914000137
11758,03.658.136/0001-81,DJ COMUNICACOES E EXPLORACAO DE SERVICOS DE RADIODIFUSAO LTDA,Churn,01/01/2022,24/06/2022,5,1677,1677,,,,,Não Tem,Não Tem,Não Tem,Small,EPP,EMP,Serviços - Informação e Comunicação,,0,1,2,0,8,172,9,,,"74,5",ListasAtivas,Não,0,0,,,,SEMESTRAL,3658136000181
11761,08.267.977/0001-81,CEON TECNOLOGIA & INTELIGENCIA LTDA,Churn,01/01/2022,28/07/2022,6,"4193,9","4193,9",,,,,2-10,6,https://www.linkedin.com/company/ceon-tecnologia/people/,Very small,EPP,ME,Serviços - Tecnologia da Informação,,0,"17,66666667","2,666666667",0,8,"177,1666667",8,,,75,ListasAtivas,Não,0,0,,,,MENSAL,8267977000181
11771,27.316.464/0001-68,BLOCCO AG. MARKETING E CONSULTORIA LTDA,Ativo,01/02/2022,,9,"1206,9","1206,9",759,"248,9",199,,11-50,15,https://www.linkedin.com/company/agenciablocco/about/,Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,"210,8888889",18,3,3,18,"1207,888889",10,RDStation,RDStationCRM,"1203,222222",BDR,Não,0,0,,,,SEMESTRAL,27316464000168
11775,09.196.317/0003-81,MANCHESTER AGENTES AUTONOMOS DE INVESTIMENTOS S/S LTDA,Churn,01/01/2022,12/08/2022,7,1018,1018,,,,,201-500,272,https://www.linkedin.com/company/manchesterinvest/about/,Middle,DEMAIS,DEM,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,0,"2,666666667","2,8",0,10,"7,5",7,,,0,BDR,Não,0,0,,,,ANUAL,9196317000381
11793,82.156.209/0001-03,CONFECCOES BAMBINI E SOLLO FINE LTDA,Ativo,01/02/2022,,9,3699,699,699,0,0,,201-500,21,https://www.linkedin.com/company/monnari-jeans/about/,Middle,DEMAIS,DEM,Comércio de Bens de Consumo duráveis - Roupas e acessórios,,0,"6,75","4,75",1,14,88,26,,,"161,1666667",Indicação,Não,0,0,Sim,1,3000,ANUAL,82156209000103
11815,33.084.795/0001-12,WE DEV TECNOLOGIA LTDA,Ativo,31/01/2022,,9,1098,2593,,,,,201-500,8,https://www.linkedin.com/company/wedev-studio/,Middle,DEMAIS,ME,Serviços - Tecnologia da Informação,,83,"13,71428571",0,0,0,"583,8571429",15,,,"575,7142857",SocialSelling,Sim,2,796,Sim,1,199,ANUAL,33084795000112
11839,18.803.842/0001-47,WORKDB TECNOLOGIA EIRELI,Churn,01/02/2022,14/06/2022,4,"1127,9","1127,9",,,,,11-50,39,https://www.linkedin.com/company/workdb-data-business?originalSubdomain=br,Small,EPP,ME,Serviços - Tecnologia da Informação,,0,0,1,0,8,0,7,,,0,BDR,Não,0,0,,,,SEMESTRAL,18803842000147
11845,14.330.421/0001-95,CATARINAS DESIGN LTDA,Ativo,01/02/2022,,9,796,796,796,0,0,,2-10,8,https://www.linkedin.com/company/catarinas/about/,Very small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,6,4,0,1,8,"87,5",4,,PipeDrive,156,BDR,Não,0,0,,,,MENSAL,14330421000195
11847,38.314.072/0001-86,CREATIVE TWO FILMES PRODUTORA DE VIDEO LTDA,Churn,01/02/2022,26/06/2022,4,"1243,9","1243,9",,,,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,"1,5",1,2,6,"199,3333333",3,,,"38,5",Site,Não,0,0,,,,MENSAL,38314072000186
11857,83.066.118/0001-40,DITEC TELECOMUNICACOES LTDA.,Ativo,01/02/2022,,9,"1196,9","1196,9",699,"248,9",249,,11-50,12,https://www.linkedin.com/company/ditecbrasil/about/,Small,DEMAIS,EMP,Serviços - Tecnologia da Informação,,0,"3,5",6,0,6,"37,75",6,,,132,Site,Não,0,0,,,,ANUAL,83066118000140
11880,20.117.452/0001-65,T. D. CONSULTORIA LTDA,Churn,01/02/2022,16/11/2022,9,1166,1524,699,676,149,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Serviços - Educação Corporativa,,110,3,1,0,4,6,6,RDStation,,"20,5",MídiasSociais,Sim,1,358,,,,ANUAL,20117452000165
11884,02.812.525/0001-57,NEGOCIAR REPRESENTACOES COMERCIAIS LTDA,Churn,01/02/2022,18/09/2022,7,796,796,,,,,Não Tem,Não Tem,Não Tem,Very small,DEMAIS,ME,Serviços - Representação comercial,,0,"4,75",1,0,10,0,10,,,"56,2",Site,Não,0,0,,,,MENSAL,2812525000157
11885,10.363.084/0001-81,MOVTI CLOUD SOLUTIONS LTDA,Ativo,01/02/2022,,9,1464,"1712,9",995,"448,9",269,,11-50,41,https://www.linkedin.com/company/movti/about/,Small,EPP,ME,"Software - BI, dados e segurança da informação",,0,5,0,8,16,"25,375",19,,,"64,875",BDR,Sim,2,"248,9",,,,MENSAL,10363084000181
11899,26.421.323/0001-42,ANDES BRASIL TECNOLOGIA LTDA,Churn,01/02/2022,25/04/2022,2,945,945,,,,,Não Tem,Não Tem,Não Tem,Small,ME,ME,Software - Gestão Empresarial (ERP),,0,0,1,0,0,0,12,,,0,BDR,Não,0,0,,,,MENSAL,26421323000142
11907,13.435.648/0001-32,FOX IMPORTACAO EXPORTACAO E COMERCIO LTDA,Ativo,01/03/2022,,8,"1267,9","1267,9",699,"49,9",519,,2-10,10,https://www.linkedin.com/company/fox-trading-importa%C3%A7%C3%A3o-e-exporta%C3%A7%C3%A3o-ltda/about/,Very small,DEMAIS,ME,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,"3,333333333","3,25",1,4,9,6,,,2,Site,Não,0,0,,,,ANUAL,13435648000132
11939,42.296.945/0001-42,CW KOLOGESKI LTDA,Churn,01/03/2022,20/08/2022,5,"1096,9","1096,9",,,,,2-10,19,www.linkedin.com/company/wk-technology/?originalSubdomain=br,Small,ME,ME,"Serviços - Desenvolvimento de softwares, sistemas e apps",,0,"27,25","1,333333333",1,8,"1987,75",9,,PipeDrive,"161,5",BDR,Não,0,0,,,,ANUAL,42296945000142
11964,16.927.275/0001-05,IMOBILIARIA BALZAN BRUM MAFFESSONI LTDA.,Ativo,01/03/2022,,8,3858,3858,699,159,0,3000,11-50,15,https://www.linkedin.com/company/plazaimoveischapeco/,Small,EPP,ME,Serviços - Imobiliário,,"28,85714286","7,666666667",1,0,22,"550,5714286",19,RDStation,,"91,85714286",CampanhasdeMKT,Não,0,0,,,,ANUAL,16927275000105
11966,29.303.506/0001-51,NEOCO DESENVOLVIMENTO E CONSULTORIA DE SOFTWARES LTDA,Ativo,01/03/2022,,8,"6057,9","6057,9",759,"248,9",50,5000,11-50,13,https://www.linkedin.com/company/neocobr/about/,Small,ME,ME,"Serviços - Desenvolvimento de softwares, sistemas e apps",,0,"2,75",0,3,16,393,8,,,"355,6",BDR,Não,0,0,,,,SEMESTRAL,29303506000151
12001,41.319.382/0001-06,ROBSON MARCUSSI FERNANDES 32841399826,Ativo,01/03/2022,,8,"546,9","546,9",398,"148,9",0,,2-10,1,https://www.linkedin.com/company/sales-plan-performance/about/,Very small,ME,ME,Serviços - Coaching e consultoria,,0,0,0,0,4,25,4,,,0,Site,Não,0,0,,,,ANUAL,41319382000106
12019,19.332.580/0001-42,JOINVIDROS INDUSTRIA E COMERCIO DE VIDROS EIRELI,Churn,01/03/2022,26/09/2022,6,1028,1028,,,,,Não Tem,Não Tem,Não Tem,Small,EPP,ME,Comércio de Bens de Consumo duráveis - Materiais elétricos e de construção,,0,0,0,0,0,0,6,,,0,CoMKTConteúdo,Não,0,0,,,,SEMESTRAL,19332580000142
12042,27.436.984/0001-04,STOTZ INDUSTRIA E COMERCIO DE CONFECCOES LTDA,Churn,01/03/2022,30/10/2022,7,"1007,9","1007,9",,,,,Não Tem,Não Tem,Não Tem,Small,EPP,ME,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,0,"1,5",0,0,4,0,5,,,1,ListasAtivas,Não,0,0,,,,SEMESTRAL,27436984000104
12050,30.795.008/0001-52,EFRATE REPRESENTACOES TEXTEIS LTDA,Ativo,01/04/2022,,7,"1196,9","1196,9",699,"248,9",249,,Não Tem,Não Tem,Não Tem,Very small,DEMAIS,ME,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,0,"6,5",1,1,8,30,6,,,"92,85714286",Indicação,Não,0,0,,,,ANUAL,30795008000152
12063,28.013.214/0001-11,SHOPPING DE IDEIAS COMUNICACAO CONSULTORIA E EVENTOS LTDA.,Ativo,01/04/2022,,7,"1166,9","1166,9",699,"148,9",319,,2-10,10,https://www.linkedin.com/company/somossdi/about/,Very small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,"1,5","5,333333333",1,6,15,4,,RDStationCRM,"56,5",Anúncio,Não,0,0,,,,ANUAL,28013214000111
12073,37.152.540/0001-09,CP PROMOCOES LTDA,Ativo,01/04/2022,,7,1631,1472,995,477,0,,11-50,4,https://www.linkedin.com/company/verkope-marketing/about/,Small,ME,ME,Serviços - Coaching e consultoria,,0,"26,28571429","1,5",0,10,"2351,714286",6,,,"1006,571429",Anúncio,Sim,1,199,Sim,2,358,MENSAL,37152540000109
12111,83.055.855/0001-47,ANDERSON BINOTTO & CIA LTDA,Ativo,01/04/2022,,7,"1044,9","845,9",597,"49,9",199,,11-50,8,https://www.linkedin.com/company/ommega-data-sistemas/about/,Small,ME,DEM,Software - Gestão Empresarial (ERP),,0,0,0,1,8,3,5,,,"48,5",BDR,Não,0,0,Sim,1,199,ANUAL,83055855000147
12113,11.748.537/0001-50,DALLA VECCHIA INDUSTRIA E COMERCIO LTDA,Ativo,01/04/2022,,7,"1106,9","1106,9",759,"148,9",199,,11-50,10,https://www.linkedin.com/company/dallacervejaria/about/,Small,EPP,ME,"Indústrias da Transformação - Alimentícios, bebidas e fumo",,0,0,0,1,4,6,6,,,0,Indicação,Não,0,0,,,,SEMESTRAL,11748537000150
12129,17.151.302/0001-63,CADPLAS SERVICOS DE INJECAO EIRELI,Churn,01/04/2022,26/08/2022,4,"1203,9","1203,9",,,,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,0,1,1,8,24,3,,,16,Site,Não,0,0,,,,MENSAL,17151302000163
12133,08.645.006/0001-28,GMO FACILITIES LTDA,Ativo,01/05/2022,,6,"1216,9",1167,699,99,369,,201-500,58,https://www.linkedin.com/company/grupo-gmo-facilities/about/,Middle,DEMAIS,EPP,Serviços - Administrativos e serviços complementares,,0,"1,5",29,0,6,"31,83333333",6,,PipeDrive,"15,66666667",Site,Não,0,0,Sim,1,"49,9",ANUAL,8645006000128
12150,13.418.088/0001-08,CAMTWO SISTEMAS LTDA,Ativo,27/04/2022,,6,1047,1264,,,,,11-50,39,https://www.linkedin.com/company/clinicanasnuvens/about/,Small,ME,ME,Software - Áreas da saúde,,"329,5","81,66666667",0,0,4,"2540,333333",13,RDStation,PipeDrive,"1007,833333",BDR,Sim,1,199,,,,ANUAL,13418088000108
12154,17.293.819/0001-97,SERCOMPE IT SERVICES LTDA,Ativo,01/05/2022,,6,878,878,759,0,119,,51-200,81,https://www.linkedin.com/company/sercompe/about/,Middle,DEMAIS,EPP,Serviços - Tecnologia da Informação,,0,1,1,1,4,0,3,,,0,Eventos,Não,0,0,,,,SEMESTRAL,17293819000197
12156,80.750.714/0001-56,MANAGER CONSULTORIA EM INFORMATICA EIRELI,Ativo,01/05/2022,,6,"808,9","808,9",759,"49,9",0,,11-50,49,https://www.linkedin.com/company/manager-systems/about/,Small,DEMAIS,EPP,Software - Áreas da saúde,,1,3,"113,5",2,10,"99,2",4,RDStation,,0,BDR,Não,0,0,,,,SEMESTRAL,80750714000156
12161,23.065.772/0001-07,APOLO ATACADO TEXTIL LTDA,Ativo,01/04/2022,,7,"2140,9","2936,9",2388,"548,9",0,,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,"964,6666667","357,6","7,5",0,4,2475,22,,,"844,8333333",BDR,Sim,1,796,Sim,3,1344,MENSAL,23065772000107
12169,32.701.432/0001-16,M. RODRIGO DE ARRUDA ARTIGOS PLASTICOS,Ativo,01/05/2022,,6,"1293,9","1293,9",796,"348,9",149,,Não Tem,Não Tem,Não Tem,Small,EPP,ME,"Indústrias da Transformação - Móveis, produtos de madeira e estofados",,0,"14,5","7,333333333",0,14,37,5,,,0,Site,Não,0,0,,,,MENSAL,32701432000116
12189,37.997.366/0001-97,QAT CAPITAL CONSULTORIA LTDA,Churn,01/05/2022,12/10/2022,5,"1196,9","1196,9",,,,,2-10,3,https://www.linkedin.com/company/qatcapital/,Very small,EPP,EPP,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,1,"9,25",0,0,12,"15,66666667",5,,HubSpot CRM,"20,5",Indicação,Não,0,0,,,,ANUAL,37997366000197
12206,07.008.954/0001-90,XH MAR BETHLEHEM COMERCIO E SERVICOS LTDA,Ativo,01/05/2022,,6,6047,"6246,9",699,"248,9",299,5000,11-50,18,https://br.linkedin.com/company/xh-mar-bethlehem/about,Small,EPP,ME,Serviços - Manutenção e/ou locação de Máquinas e Equipamentos,,0,5,"4,75",6,16,"236,5",11,,,"306,5",ListasAtivas,Não,0,0,,,,ANUAL,7008954000190
12239,05.470.651/0001-69,VISIONCARD BRASIL OTICA LTDA,Ativo,01/05/2022,,6,3759,4972,1157,815,0,3000,201-500,89,https://www.linkedin.com/company/franquia-super-%C3%B3tica-s%C3%A3o-jos%C3%A9/about/,Middle,EPP,ME,Comércio de Bens de Consumo duráveis - Roupas e acessórios,,"163,75","24,8",0,1,14,"858,75",34,RDStation,RDStationCRM,"124,6",Site,Sim,3,855,,,,SEMESTRAL,5470651000169
12268,79.011.862/0001-70,QUESTOR SISTEMAS S.A.,Churn,01/06/2022,10/12/2022,6,"1094,9","1094,9",796,"248,9",50,,201-500,381,https://www.linkedin.com/company/questor-sistemas/,Middle,DEMAIS,EMP,Software - Gestão Empresarial (ERP),,61,"19,25","3,666666667",0,18,"442,25",22,,,"448,75",BDR,Não,0,0,,,,MENSAL,79011862000170
12294,10.724.275/0001-21,NUNES CONSTRUCAO SECA EIRELI,Ativo,01/06/2022,,5,3958,"4007,9",759,"248,9",0,3000,501-1000,13,linkedin.com/company/mundo-steel-franchising/,Small,ME,ME,Indústrias da Transformação - Materiais elétricos e construção,,28,42,74,1,30,"121,25",3,RDStation,,"148,25",EventodeTerceiros,Sim,1,"49,9",,,,SEMESTRAL,10724275000121
12295,24.441.177/0001-91,RAFAEL LINHARES RANGEL DE ABREU,Ativo,01/06/2022,,5,3848,3848,699,0,149,3000,Não Tem,Não Tem,Não Tem,Small,ME,ME,Comércio de Bens de Consumo duráveis - Outros,,0,"4,5",0,6,20,"192,5",12,,Agendor,15,Anúncio,Não,0,0,,,,ANUAL,24441177000191
12307,02.531.343/0001-08,ADSERVI - ADMINISTRADORA DE SERVICOS LTDA,Ativo,01/06/2022,,5,1078,1078,759,0,319,,1001-5000,441,https://www.linkedin.com/company/grupo-adservi/,Big,DEMAIS,GE,"Software - Serviços administrativos (financeiro, contábil, RH, jurídico, monitoramento e segurança)",,0,0,"17,5",0,4,2,8,,,0,BDR,Não,0,0,,,,SEMESTRAL,2531343000108
12314,29.262.179/0001-37,FEELIN IMOVEIS LTDA,Ativo,01/06/2022,,5,995,995,796,199,0,,11-50,11,https://www.linkedin.com/company/feelinimoveis/,Small,EPP,ME,Serviços - Imobiliário,,"56,33333333",55,2,0,8,1,15,,,"23,75",Site,Não,0,0,,,,MENSAL,29262179000137
12320,03.371.953/0001-54,C. D''AVILA CORRETORA DE SEGUROS LTDA,Ativo,01/06/2022,,5,3759,3759,759,0,0,3000,11-50,20,https://www.linkedin.com/company/cd%27avila-corretora-de-seguros/,Small,EPP,EPP,Serviços - Corretoras de seguro e seguradoras,,0,1,0,0,0,0,8,,,0,BDR,Não,0,0,,,,SEMESTRAL,3371953000154
4575,22.726.348/0001-01,123 Projetei Servicos De Engenharia Ltda,Ativo,01/02/2021,,21,699,2689,2689,0,0,,11-50,30,www.linkedin.com/company/123projetei/,Small,ME,ME,Serviços - Engenharia e arquitetura,,"7322,190476","302,8947368",1,0,10,"7133,105263",0,RDStation,Moskit CRM,"3017,2",MídiasSociais,Sim,10,2940,Sim,2,149,ANUAL,22726348000101
12327,11.447.790/0001-74,ESPARTHA COMPUTACAO GRAFICA LTDA,Ativo,01/06/2022,,5,1592,2589,1990,599,0,,11-50,11,https://www.linkedin.com/company/owp-comunica%C3%A7%C3%A3o-eficaz/about/,Small,ME,ME,"Serviços - Marketing, publicidade, design e produção",,0,"28,25",0,1,14,"2036,5",14,,,"2058,5",BDR,Sim,3,997,,,,MENSAL,11447790000174
12395,40.448.974/0001-57,FLEXCOURT SERVIÇOS ESPORTIVOS LTDA,Ativo,01/07/2022,,4,"1046,9","1046,9",699,"148,9",199,,Não Tem,Não Tem,Não Tem,Very Small,ME,DEM,Comércio de Bens de Consumo duráveis - Materiais elétricos e de construção,,0,0,1,0,12,573,9,,,739,Indicação,Sim,1,3000,,,,ANUAL,40448974000157
12415,83.191.510/0001-10,RADIO CANOINHAS LTDA,Churn,01/07/2022,08/01/2023,6,1178,1178,759,0,419,,11-50,6,https://www.linkedin.com/company/jovempanfloripa/about/,Small,DEMAIS,GE,Serviços - Informação e Comunicação,,0,1,3,0,2,0,11,,,0,Indicação,Não,0,0,,,,SEMESTRAL,83191510000110
12429,29.782.214/0001-49,MANEJEBEM ASSESSORIA EM AGRICULTURA SUSTENTAVEL LTDA,Ativo,01/07/2022,,4,1017,1017,699,199,119,,11-50,25,https://www.linkedin.com/company/manejebem/,Small,ME,ME,Serviços - Coaching e consultoria,,0,"3,333333333",1,0,6,"862,3333333",9,,ZohoCRM,223,EventodeTerceiros,Não,0,0,,,,ANUAL,29782214000149
12440,24.620.316/0001-44,PAC LOGISTICA E HANGARAGEM LTDA,Ativo,01/07/2022,,4,"1147,9","1147,9",699,"348,9",100,,51-200,55,https://www.linkedin.com/company/pac-log/about/,Middle,DEMAIS,GE,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,0,2,1,8,1,5,,,14,EventodeTerceiros,Não,0,0,,,,ANUAL,24620316000144
12480,01.318.001/0001-41,ALMATHI COMERCIAL LTDA,Ativo,01/08/2022,,3,"1067,9","1067,9",699,"49,9",319,,11-50,10,https://www.linkedin.com/company/almathi-comercial-ltda/,Small,EPP,EPP,Indústrias da Transformação - Equipamentos industriais,,0,3,1,0,6,8,4,,,0,ListasAtivas,Não,0,0,,,,ANUAL,1318001000141
12485,17.262.516/0001-07,PRATICO ADMINISTRADORA DE CARTOES E MEIOS DE PAGAMENTO LTDA,Ativo,01/07/2022,,4,1446,1446,759,318,369,,Não Tem,Não Tem,Não Tem,Small,EPP,ME,"Serviços - Financeiro, seguros, previdência complementar e planos de saúde",,0,3,10,0,8,37,6,,,"115,3333333",Indicação,Não,0,0,,,,SEMESTRAL,17262516000107
12513,11.032.571/0001-24,BLUMEIMPORT IMPORTACAO E EXPORTACAO LTDA,Ativo,01/08/2022,,3,"4093,9","4093,9",796,"148,9",149,3000,Não Tem,Não Tem,Não Tem,Small,DEMAIS,EPP,"Indústrias da Transformação - Móveis, produtos de madeira e estofados",,0,0,31,0,0,"3,5",9,,,"99,5",Indicação,Sim,1,120,,,,MENSAL,11032571000124
12531,05.954.407/0001-71,PHOENIX - IMPORTACAO E DISTRIBUICAO EIRELI,Ativo,01/08/2022,,3,"1057,9","1057,9",759,"248,9",50,,11-50,8,https://www.linkedin.com/company/phoenix-importacao-e-distribuicao/about/,Small,DEMAIS,DEM,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,1,"5,5",0,12,28,11,,,85,EventodeTerceiros,Não,0,0,,,,SEMESTRAL,5954407000171
12543,08.866.500/0001-12,IMPRIMERE EMBALAGENS IMPRESSAS EIRELI,Ativo,01/08/2022,,3,796,995,995,0,0,,11-50,5,https://www.linkedin.com/company/imprimere-embalagens-impressas-ltda/,Small,DEMAIS,ME,"Indústrias da Transformação - Celulose, papel, produtos de papel e papelão",,0,12,"1,5",1,4,49,6,,,0,ListasAtivas,Sim,1,199,,,,MENSAL,8866500000112
12547,37.456.158/0001-80,APRESENTA.ME TECNOLOGIA E GESTAO PARA IMOBILIARIAS LTDA,Churn,01/08/2022,17/11/2022,3,2609,2609,1791,499,319,,11-50,23,https://www.linkedin.com/company/apresentame/about/,Small,ME,ME,"Software - Serviços (Contábil, Financeiro, Logística, Monitoramento/Segurança, RH)",,"74,5","13,5","2,555555556",0,6,"197,5",12,,,"285,5",BDR,Não,0,0,,,,MENSAL,37456158000180
12558,32.862.478/0001-17,DIGILIZA SOFTWARE LTDA,Ativo,01/08/2022,,3,1017,"1196,1","878,1",199,119,,11-50,9,https://www.linkedin.com/company/digiliza,Small,ME,ME,Software - Gestão Empresarial (ERP),,0,7,0,0,8,"521,5",11,,,"499,5",EventoPróprio,Sim,1,199,,,,ANUAL,32862478000117
12576,09.504.672/0001-09,VALE AUTOMACAO INDUSTRIAL LTDA,Ativo,01/08/2022,,3,"1774,9","1774,9",1157,"248,9",369,,51-200,60,https://www.linkedin.com/company/valeautomacao,Middle,EPP,DEM,Indústrias da Transformação - Equipamentos industriais,,0,0,2,0,4,0,25,,,0,Anúncio,Não,0,0,,,,SEMESTRAL,9504672000109
12582,01.093.501/0001-22,GABRY ELLA COLLECTION CONFECCOES LTDA,Ativo,01/09/2022,,2,796,796,796,0,0,,51-200,53,https://www.linkedin.com/company/grupoelegance,Middle,DEMAIS,ME,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,3,12,0,0,18,235,35,RDStation,,27,EventodeTerceiros,Não,0,0,,,,MENSAL,1093501000122
12584,83.802.215/0001-53,OLSEN INDUSTRIA E COMERCIO SA,Ativo,01/08/2022,,3,"6306,9","6246,9",898,"348,9",0,5000,201-500,190,https://www.linkedin.com/company/olsenindustria,Middle,DEMAIS,DEM,"Indústrias da Transformação - Instrumentos e materiais para uso médico, odontológico e óptico",,0,0,1,0,0,0,1,,,0,BDR,Não,0,0,,,,SEMESTRAL,83802215000153
12585,24.707.105/0001-43,ZAELO NEGOCIOS PUBLICOS E PRIVADOS LTDA,Ativo,01/08/2022,,3,"3997,9","4347,4","1048,5","49,9",249,3000,11-50,13,https://www.linkedin.com/company/zaelo-app,Small,ME,ME,"Serviços - Desenvolvimento de softwares, sistemas e apps",,0,2,15,0,2,48,8,,,8,EventodeTerceiros,Sim,1,"349,5",,,,ANUAL,24707105000143
12586,36.297.048/0001-50,ASSOCIACAO DOS LOJISTAS ATACADISTAS RODOVIA IVO SILVEIRA,Ativo,01/09/2022,,2,"1663,9","1756,77","888,87","348,9",519,,51-200,28,https://www.linkedin.com/company/allatacadista,Middle,DEMAIS,DEM,Comércio de Bens de Consumo duráveis - Roupas e acessórios,,0,0,"1,5",0,0,1,10,,,0,ListasAtivas,Sim,1,199,Sim,1,199,MENSAL,36297048000150
12598,18.093.100/0001-75,DOM FABRICACAO E COMERCIO DE BEBIDAS S.A.,Ativo,01/08/2022,,3,3607,3607,759,199,149,2500,Não Tem,Não Tem,Não Tem,Small,DEMAIS,EPP,Comércio de Bens de Consumo não duráveis - Produtos Alimentícios e bebidas,,0,"2,5",0,0,4,1,4,,,1,EventoPróprio,Não,0,0,,,,SEMESTRAL,18093100000175
12616,02.633.138/0001-53,ENOVELAR INDUSTRIA E COMERCIO LTDA EM RECUPERACAO JUDICIAL,Ativo,01/09/2022,,2,"1193,9","1193,9",796,"248,9",149,,Não Tem,Não Tem,Não Tem,Small,DEMAIS,EPP,"Indústrias da Transformação - Texteis, de couro, vestuário, calçados e acessórios",,0,136,0,0,6,101,7,,,1,EventodeTerceiros,Não,0,0,,,,MENSAL,2633138000153
12621,22.430.241/0002-94,AG FLEX COMERCIAL IMPORTADORA LTDA,Ativo,01/09/2022,,2,1047,1047,699,199,149,,Não Tem,Não Tem,Não Tem,Small,DEMAIS,EPP,"Serviços - Logística, transporte, armazenagem e distribuição de mercadorias",,0,9,0,1,4,0,5,,,"118,5",ListasAtivas,Não,0,0,,,,ANUAL,22430241000294
12623,18.137.967/0001-85,BNU TECNOLOGIA EM INSTALACOES ELETRICAS E SEGURANCA LTDA,Ativo,01/09/2022,,2,"1325,9","1325,9",699,"526,9",100,,11-50,19,https://www.linkedin.com/company/globalsonicoficial/,Small,EPP,EPP,Indústrias da Transformação - Equipamentos industriais,,0,3,0,0,12,"135,5",6,,PipeDrive,241,BDR,Não,0,0,,,,ANUAL,18137967000185
12628,08.254.382/0001-91,MORAES & GONCALVES ADVOGADOS,Ativo,01/09/2022,,2,"1256,9","1256,9",759,"248,9",249,,11-50,6,https://www.linkedin.com/company/megadvogados/about/,Small,ME,DEM,"Serviços - Jurídicos, de advocacia, contabilidade ou auditoria",,0,6,2,1,18,93,5,,,"39,5",EventoPróprio,Não,0,0,,,,SEMESTRAL,8254382000191
12643,18.504.813/0001-84,AVENA SERVICOS LTDA.,Ativo,01/09/2022,,2,"3547,9","3547,9",699,"148,9",0,2700,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Serviços - Administrativos e serviços complementares,,0,2,0,0,20,4,4,,,0,ListasAtivas,Não,0,0,,,,ANUAL,18504813000184
12646,29.246.062/0001-60,SETCOLD SOLUCOES EM REFRIGERACAO LTDA,Ativo,01/09/2022,,2,3608,"3651,25",759,"43,25",149,2700,Não Tem,Não Tem,Não Tem,Very Small,ME,ME,Comércio de Bens de Consumo duráveis - Equipamentos industriais,,0,3,0,19,6,2,5,,,153,BDR,Sim,1,"49,9",,,,SEMESTRAL,29246062000160
12651,09.454.624/0001-53,CORDOARIA BRASIL INDUSTRIA E COMERCIO DE CORDAS EIRELI,Ativo,01/09/2022,,2,"1146,9","1046,9",699,"148,9",199,,201-500,46,https://www.linkedin.com/company/cordoaria-brasil/about/,Middle,EPP,DEM,Indústrias da Transformação - Borracha e material plástico,,0,1,0,1,8,12,10,,,210,ListasAtivas,Não,0,0,,,,ANUAL,9454624000153
12674,13.879.324/0001-93,METALURGICA J LAR LTDA,Ativo,01/09/2022,,2,995,995,796,199,0,,Não Tem,Não Tem,https://www.linkedin.com/company/metal%C3%BArgica-j-lar/about/,Very Small,ME,ME,Indústrias da Transformação - Metalurgica,,0,0,0,1,14,3,3,,,0,Site,Não,0,0,,,,MENSAL,13879324000193
